,method,CCN SEARCH,n,Method_type ,method_tool
1107,Multicriteria analysis,Corridors,1,unclear,
111,Multi-criteria analysis,Networks,2,unclear,
1122,Multispecies fishways,Corridors,1,unclear,
1137,National Marine Conservation Area Reserves (NMCAR),Networks,1,unclear,
1138,Natura 2000 (N2000) network,Networks,1,unclear,
1139,Natural regeneration,Corridors,1,unclear,
1140,Nature networks,Networks,1,unclear,
1141,Nature-based Solutions (NbS,Connectivity,1,unclear,
1142,Nature-based solutions (NBS),Networks,1,unclear,
1143,Nature-like fishway,Connectivity,1,unclear,
1132,NETWORK,Connectivity,1,unclear,
1133,NETWORK,Corridors,1,unclear,
1159,Network science,Connectivity,1,unclear,
1160,Network science,Networks,1,unclear,
1169,NextStand,Connectivity,1,unclear,
1134,NOAA Shallow-Water Benthic Habitats Manual,Connectivity,1,unclear,
1170,Noldus Observer software,Networks,1,unclear,
1180,OceanParcels,Connectivity,1,unclear,
1181,OceanParcels,Networks,1,unclear,
1188,One Health approach,Networks,1,unclear,
1189,One-out-all-out principle,Connectivity,1,unclear,
1190,One-out-all-out principle,Networks,1,unclear,
1192,Operations Research (OR),Corridors,1,unclear,
1209,ParallelStructure,Connectivity,1,unclear,
1212,Passive acoustic monitoring,Networks,1,unclear,
1227,Plastic Food Web (PFW),Networks,1,unclear,
1230,"Polycam (ruler, area, segmentation, volume, level,  tool)",Corridors,1,unclear,
1231,Pool and weir bypass channel,Connectivity,1,unclear,
1241,Population genetic tools,Corridors,1,unclear,
1242,Population genetics analysis,Connectivity,1,unclear,
1243,Population genetics analysis,Networks,1,unclear,
1269,Protected Area (PA) Networks,Corridors,1,unclear,
1270,Protected Area (PA) networks,Connectivity,1,unclear,
1271,Protected Area (PA) networks,Networks,1,unclear,
1833,protected area (PA) networks,Networks,1,unclear,
1275,Protected area network,Connectivity,1,unclear,
1276,Protected area network,Networks,1,unclear,
1277,Protected area networks,Connectivity,1,unclear,
1272,Protected Areas (PA) networks,Networks,1,unclear,
29,Protected Areas (PAs),Networks,5,unclear,
37,Protected Areas (PAs),Connectivity,4,unclear,
55,Protected areas (PAs),Networks,3,unclear,
120,Protected areas (PAs),Corridors,2,unclear,
1273,Protected Areas (PAs),Corridors,1,unclear,
1278,Protected areas (PAs),Connectivity,1,unclear,
1274,Protected Areas (PAs) network,Networks,1,unclear,
1828,pSEM,Connectivity,1,unclear,
1279,Pseudo‐labelling,Networks,1,unclear,
1280,PyCharm software,Networks,1,unclear,
56,Python,Connectivity,3,unclear,
57,Python,Corridors,3,unclear,
1282,Python,Networks,1,unclear,
1283,Python 3.10.9,Connectivity,1,unclear,
1284,Python 3.10.9,Networks,1,unclear,
1285,Python 3.11.0 (Model training processes),Connectivity,1,unclear,
1286,Python 3.8,Networks,1,unclear,
1287,Python programming,Connectivity,1,unclear,
1281,PyTorch,Networks,1,unclear,
1289,Q analysis software,Corridors,1,unclear,
58,QGIS,Corridors,3,unclear,
1290,QGIS,Connectivity,1,unclear,
1291,QGIS,Networks,1,unclear,
1292,QGIS (GRASS plug in),Corridors,1,unclear,
1294,QGIS (MMQGIS plug in),Corridors,1,unclear,
1297,QGIS 3.10.3,Corridors,1,unclear,
1308,Qgis 3.14,Connectivity,1,unclear,
1298,QGIS 3.22,Connectivity,1,unclear,
1299,QGIS 3.22,Corridors,1,unclear,
1300,QGIS 3.22,Networks,1,unclear,
1301,QGIS 3.28 software,Corridors,1,unclear,
1302,QGIS 3.4.15,Corridors,1,unclear,
1303,QGIS 3.4.15,Networks,1,unclear,
121,QGIS Desktop 3.26.0 software,Connectivity,2,unclear,
122,QGIS Desktop 3.26.0 software,Corridors,2,unclear,
1304,QGIS software,Connectivity,1,unclear,
1305,QGIS software,Corridors,1,unclear,
1306,QGIS3.8,Corridors,1,unclear,
1311,Quantitative genetic studies of traits,Corridors,1,unclear,
1312,"R (""related"" package)",Connectivity,1,unclear,
1375,R (agricolae package),Corridors,1,unclear,
1376,R (argosfilter package),Corridors,1,unclear,
1316,R (CRAN),Connectivity,1,unclear,
1389,R (data.table),Connectivity,1,unclear,
1405,R (geosphere package),Connectivity,1,unclear,
1407,R (ggeffects package),Networks,1,unclear,
1406,R (ggExtra package),Networks,1,unclear,
1408,R (ggplot 2 package),Connectivity,1,unclear,
1409,R (ggplot2 package),Networks,1,unclear,
1343,R (LEAFLET package),Corridors,1,unclear,
1424,R (lubridate package),Networks,1,unclear,
130,R (raster package),Connectivity,2,unclear,
131,R (raster package),Corridors,2,unclear,
132,R (raster package),Networks,2,unclear,
1455,R (rgbif package),Networks,1,unclear,
1359,R (RStudio package),Connectivity,1,unclear,
133,R (sf package),Connectivity,2,unclear,
134,R (sf package),Corridors,2,unclear,
1461,R (sf package),Networks,1,unclear,
1363,R (SHINY package),Corridors,1,unclear,
1462,R (sp package),Corridors,1,unclear,
1463,R (sp package),Networks,1,unclear,
1365,R (SpadeR package),Corridors,1,unclear,
1474,R (terra package),Connectivity,1,unclear,
1367,R (Tidyr package),Networks,1,unclear,
1475,R (tidyverse package),Networks,1,unclear,
1481,R (v. 4.2.1),Networks,1,unclear,
61,R (vegan package),Networks,3,unclear,
136,R (vegan package),Corridors,2,unclear,
1369,R (VEGAN package),Connectivity,1,unclear,
1482,R (vegan package),Connectivity,1,unclear,
1483,R (version 3.3.0),Corridors,1,unclear,
1484,R (version 3.6.1),Networks,1,unclear,
1493,R 4.0.5 (raster package),Connectivity,1,unclear,
1494,R 4.0.5 (raster package),Corridors,1,unclear,
1508,R 4.1.2 (related package),Connectivity,1,unclear,
1509,R 4.1.2 (related package),Corridors,1,unclear,
1513,R 4.2.3,Corridors,1,unclear,
137,R software,Corridors,2,unclear,
1518,R software,Connectivity,1,unclear,
1519,R software,Networks,1,unclear,
1520,R software v. 4.0.2,Networks,1,unclear,
1522,R software version 4.1.2,Networks,1,unclear,
1523,R software version 4.2.2,Networks,1,unclear,
1524,R statistical software,Corridors,1,unclear,
1525,R statistics programme,Networks,1,unclear,
1528,R v.4.4.0,Connectivity,1,unclear,
1529,R v3.6.1 (ggplot2 package),Corridors,1,unclear,
1530,R v4.1.3,Connectivity,1,unclear,
1531,R version 4.0.0,Connectivity,1,unclear,
1532,R version 4.0.0,Networks,1,unclear,
1515,R Version 4.1.1,Connectivity,1,unclear,
1516,R Version 4.2.1,Connectivity,1,unclear,
1517,R Version 4.2.1,Networks,1,unclear,
1536,R version 4.3.1,Networks,1,unclear,
1538,R4.3.2 software,Connectivity,1,unclear,
1539,R4.3.2 software,Corridors,1,unclear,
1537,"R-core packages, 4.1.2",Connectivity,1,unclear,
1560,Real-time polymerase chain reaction (RT-PCR),Corridors,1,unclear,
1561,Recoveries of ringed birds,Networks,1,unclear,
1565,Regional Conservation Visions,Networks,1,unclear,
1567,Regulatory policy tools,Corridors,1,unclear,
1568,Repeatability analysis,Networks,1,unclear,
1581,Riparian environment assessment tool,Connectivity,1,unclear,
1582,Riparian forests,Corridors,1,unclear,
1583,River Analyst,Connectivity,1,unclear,
1554,RStudio Version 1.3.1073 (Dependency analyses),Connectivity,1,unclear,
1620,Satellite telemetry,Corridors,1,unclear,
1619,Satellite Tracking and Analysis Tool (STAT),Corridors,1,unclear,
1622,SeagrassFinder,Networks,1,unclear,
1621,SeaSketch,Connectivity,1,unclear,
1835,seaturtle.org Satellite Tracking and Analysis Tool (STAT),Connectivity,1,unclear,
142,Semi-open corridors,Corridors,2,unclear,
62,Sensitivity analysis,Connectivity,3,unclear,
63,Sensitivity analysis,Networks,3,unclear,
1626,Sensitivity Analysis,Corridors,1,unclear,
1627,Sensitivity Analysis,Networks,1,unclear,
1637,Simple online and real-time tracking (SORT),Networks,1,unclear,
1656,Spatial analysis,Corridors,1,unclear,
1652,Spatial Analysis in Macroecology,Corridors,1,unclear,
1653,Spatial Conservation Action Planning tool,Connectivity,1,unclear,
1654,Spatial Conservation Action Planning tool,Networks,1,unclear,
1657,Spatial conservation prioritisation (SCP) analysis,Connectivity,1,unclear,
1658,Spatial conservation prioritisation (SCP) analysis,Networks,1,unclear,
1596,SPSS,Networks,1,unclear,
1597,SPSS 28 software,Networks,1,unclear,
1599,SPSS pro software,Networks,1,unclear,
1598,SPSS Statistics,Networks,1,unclear,
1677,Stable isotope analyses,Connectivity,1,unclear,
1678,Stable isotope analyses,Networks,1,unclear,
1679,Stable isotope analysis,Connectivity,1,unclear,
1680,Stable isotope analysis,Corridors,1,unclear,
1682,Standard geographic information system (GIS) software (distances between stands in this study were calculated as Euclidean distances),Corridors,1,unclear,
1603,STATISTICA 9.1 software package,Corridors,1,unclear,
1683,Statistics and Machine Learning ToolboxTM in MATLAB version R20203b,Networks,1,unclear,
1688,Stock assessment software platforms,Connectivity,1,unclear,
1687,Stock Synthesis,Connectivity,1,unclear,
1689,Strategic Environmental Assessments (SEA),Connectivity,1,unclear,
1690,Strategic Environmental Assessments (SEA),Corridors,1,unclear,
1691,"Strengths, Weaknesses, Opportunities, and Threats (SWOT) analysis",Networks,1,unclear,
1692,Stress-tests,Networks,1,unclear,
1707,Suitability values (STBT),Corridors,1,unclear,
1618,SYSTAT 13,Corridors,1,unclear,
1713,TCS 1.2,Connectivity,1,unclear,
1718,Technical fish ladder,Connectivity,1,unclear,
1719,Telemetry tracking methods,Connectivity,1,unclear,
1724,The agri-environmental program,Networks,1,unclear,
1725,The creation of corridors,Corridors,1,unclear,
1732,Threshold analysis,Corridors,1,unclear,
1747,Trimble eCognition® software,Connectivity,1,unclear,
1748,Trophic analysis,Networks,1,unclear,
1749,Two-step estimation approach,Corridors,1,unclear,
1752,Ultralightweight multi-object tracking network,Networks,1,unclear,
1753,Uncrewed aerial vehicles (UAVs),Networks,1,unclear,
1754,Underwater visual census,Networks,1,unclear,
1755,"Universal, functional traits of reference ecosystems",Networks,1,unclear,
1756,Unpublished data,Connectivity,1,unclear,
1757,Urban Atlas,Corridors,1,unclear,
1761,Urban ecological corridors (UECs),Connectivity,1,unclear,
1762,Urban ecological corridors (UECs),Corridors,1,unclear,
1758,Urban Ecological Network,Corridors,1,unclear,
1759,Urban Ecological Network,Networks,1,unclear,
1763,Urban green infrastructure (UGI),Corridors,1,unclear,
1760,Urban Greening,Corridors,1,unclear,
1764,Urban memory design,Corridors,1,unclear,
1765,Urban wildlife corridors,Corridors,1,unclear,
1751,USEARCH,Networks,1,unclear,
1773,Video object segmentation,Networks,1,unclear,
1787,Wildlife corridors,Corridors,1,unclear,
1788,Wildlife crossing structures (overpasses and underpasses),Corridors,1,unclear,
1789,Wildlife fencing,Corridors,1,unclear,
1785,Wildlife Management Areas,Networks,1,unclear,
1786,Wildlife Management Areas (WMAs),Corridors,1,unclear,
1790,Wildlife tracking technology,Corridors,1,unclear,
1784,WildTracker,Connectivity,1,unclear,
1839,y-data-synthetic Python package,Connectivity,1,unclear,
1840,y-data-synthetic Python package,Networks,1,unclear,
1793,YOLO9000,Networks,1,unclear,
1797,Zooplankton diel vertical migration (DVM),Connectivity,1,unclear,
1798,Zooplankton diel vertical migration (DVM),Corridors,1,unclear,
1799,Zooplankton diel vertical migration (DVM),Networks,1,unclear,
1,,Networks,126,unclear,
2,,Connectivity,110,unclear,
3,,Corridors,50,unclear,
159,Acoustic telemetry,Networks,1,unknown,
160,Acoustic telemetry (AT),Connectivity,1,unknown,
161,Acoustic telemetry (AT),Networks,1,unknown,
4,Ecological Corridors (ECs),Corridors,31,unknown,
5,Ecological Corridors (ECs),Connectivity,18,unknown,
9,Ecological Corridors (ECs),Networks,10,unknown,
22,Ecological corridors (ECs),Corridors,6,unknown,
546,Ecological corridors (ECs),Connectivity,1,unknown,
6,Ecological Networks (ENs),Corridors,16,unknown,
8,Ecological Networks (ENs),Networks,13,unknown,
11,Ecological Networks (ENs),Connectivity,9,unknown,
927,Librosa,Networks,1,unknown,
928,LigTraNet,Networks,1,unknown,
146,A modified Smagorinsky scheme,Connectivity,1,,
147,A modified Smagorinsky scheme,Networks,1,,
1852, R (rglobi package),Networks,1,,
1854, Redundancy Analysis (RDA),Networks,1,,
1857,"“Core–buffer–corridors""",Connectivity,1,,
1858,"“Core–buffer–corridors""",Corridors,1,,
1859,"“Core–buffer–corridors""",Networks,1,,
1860,“Flight initiation distance” (FID),Corridors,1,,
1861,"“Free Moving Rivers"" approach",Corridors,1,,
1862,“Free Moving Rivers” corridor,Corridors,1,,
163,Adaptive Dynamic Reef Intervention Algorithm (ADRIA),Connectivity,1,,
164,Adaptive Dynamic Reef Intervention Algorithm (ADRIA),Networks,1,,
165,Adjacency matrix,Connectivity,1,,
166,Adjacency matrix,Networks,1,,
149,ADMIXTURE v. 1.3.,Connectivity,1,,
167,Advanced Research Weather Research and Forecasting model (ARWRF) version 3.9,Connectivity,1,,
168,Advanced Research Weather Research and Forecasting model (ARWRF) version 3.9,Networks,1,,
171,Agisoft Metashape Professional,Networks,1,,
172,Agisoft Metashape professional - 64-bit version 1.8.5 (motion based photogrammetric data pipeline technique),Networks,1,,
174,Agricultural Land Consolidation and Ecological Restoration through Nature-based Solutions (ALC&ER-NbS),Connectivity,1,,
173,Agri-environment scheme (AES),Networks,1,,
150,AHP-EWM-TOPSIS method,Networks,1,,
182,Amos software,Networks,1,,
190,Analytic hierarchy process (AHP),Connectivity,1,,
191,Analytic hierarchy process (AHP),Corridors,1,,
192,Analytic hierarchy process (AHP),Networks,1,,
188,Analytic Hierarchy Process (AHP) tool,Connectivity,1,,
189,Analytic Hierarchy Process (AHP) tool,Networks,1,,
195,Aquatic Condition Index (ACI) field assessment tool,Networks,1,,
276,ArcGIS v10.3 SDMTOOLBOX v1.1c (Dispersal route analysis),Corridors,1,,
282,ArcMap (SDMtoolbox version 2.4),Corridors,1,,
153,ARCMAP (Spatial Analyst/Surface/Slope tool),Corridors,1,,
311,BAYEASS 1.3,Connectivity,1,,
326,BayesAss 3.0,Connectivity,1,,
327,BayesAss 3.1,Corridors,1,,
324,BayeScan 2.1,Connectivity,1,,
325,BayeScan version 2.1,Connectivity,1,,
330,Bayesian Piecewise Regression (BPR) and Bayesian Regression Modelling (BRM),Networks,1,,
328,BayesScan v.2.1,Connectivity,1,,
329,BayesScan v.2.2,Corridors,1,,
312,BBMap tools (bbduk),Connectivity,1,,
313,BEAST v. 2.5,Connectivity,1,,
341,Biochemical kinetics,Networks,1,,
342,Biochemical reaction network theory,Networks,1,,
344,"Biodiversity indicators systems (e.g., Essential Biodiversity Variables)",Networks,1,,
345,"Biodiversity monitoring programs (e.g., The Group on Earth Observations Biodiversity Observation Network; GEOBON)",Networks,1,,
339,BioEdit v 7.0.9.0 software,Connectivity,1,,
1803,bioenergetic food web approach,Networks,1,,
72,Biological Corridors,Corridors,2,,
346,Biological migration networks,Corridors,1,,
347,Biological migration networks,Networks,1,,
340,BioOracle,Connectivity,1,,
348,Biophysical numerical modelling,Connectivity,1,,
349,Biotic-abiotic-mobility (BAM) framework,Corridors,1,,
352,Bitemporal image transformer (BIT) network,Networks,1,,
317,BWA v0.7.17,Networks,1,,
372,Calculations of Hardy–Weinberg equilibrium and linkage disequilibrium,Corridors,1,,
373,Canonical correspondence analysis,Connectivity,1,,
374,Canonical correspondence analysis,Corridors,1,,
364,CDPOP,Connectivity,1,,
365,CDPOP,Corridors,1,,
386,Certification schemes,Networks,1,,
387,Cervus 3.0,Corridors,1,,
388,Chloroplast microsatellites (cpSSRs) analysis,Networks,1,,
389,Chord diagrams,Connectivity,1,,
390,Chord diagrams,Corridors,1,,
391,Chronosequence Analysis,Networks,1,,
1804,classification  tree analysis (CTA),Connectivity,1,,
411,CloudCompare (align tool),Corridors,1,,
414,Coancestry software,Corridors,1,,
415,Comparative analysis,Corridors,1,,
416,Compositional analysis,Corridors,1,,
417,Conceptual approach,Corridors,1,,
418,Conditional probability tables (CPT),Networks,1,,
419,Conditional probability tables (CPTs),Networks,1,,
420,Conefor,Connectivity,1,,
421,Conefor,Corridors,1,,
422,Conefor,Networks,1,,
423,Conefor 2.6,Corridors,1,,
424,Conefor 2.6 software,Corridors,1,,
425,Conefor Sensinode 2.2 (CS22) software,Corridors,1,,
74,Conefor Sensinode 2.6,Connectivity,2,,
75,Conefor Sensinode 2.6,Corridors,2,,
426,Conefor Sensinode 2.6,Networks,1,,
427,Conefor Sensinode 2.6 software,Connectivity,1,,
428,Conefor Sensinode 2.6 software,Corridors,1,,
429,Confer software,Corridors,1,,
430,Confer software,Networks,1,,
431,"Connectivity metrics (complementarity, redundancy, and irreplaceability)",Corridors,1,,
432,Connectvity network,Connectivity,1,,
369,CONVERT 1.3,Corridors,1,,
447,Convolutional Block Attention Module (CBAM),Networks,1,,
463,Couple-and-weigh approach,Corridors,1,,
464,Coupling analysis of natural ecological networks and artificial networks,Corridors,1,,
465,Coupling analysis of natural ecological networks and artificial networks,Networks,1,,
362,C-Plan conservation planning software,Corridors,1,,
466,CpSSR v2.0 software,Networks,1,,
468,Creation of semi-natural habitats (SNH),Corridors,1,,
469,Criteria Importance Through Intercriteria Correlation (CRITIC) method,Connectivity,1,,
1805,ddRAD analysis,Corridors,1,,
490,Decision tree approach,Connectivity,1,,
494,DeepLabCut,Networks,1,,
495,DeepUSPS,Networks,1,,
496,Definiens eCognition object-based image classification software,Corridors,1,,
497,Delphi method,Networks,1,,
498,Detrended Correspondence Analyses (DCA),Corridors,1,,
478,DIDSON operating system software,Corridors,1,,
502,Dispersal distance threshold,Corridors,1,,
503,Dispersion analysis,Corridors,1,,
504,Distance Correlation-Based CRITIC (D-CRITIC) method,Connectivity,1,,
482,DNAsp 5.10,Connectivity,1,,
506,DnaSP v. 6.12.03,Connectivity,1,,
507,DnaSP v5.1,Corridors,1,,
483,DWC1 module's ablation analysis,Networks,1,,
557,Ecological niche modeling,Connectivity,1,,
558,Ecological resilience theory,Networks,1,,
559,Ecological security pattern (ESP),Corridors,1,,
85,Ecological security patterns (ESPs),Corridors,2,,
560,Ecological senstivity and sutibility analysis,Corridors,1,,
561,"Ecological theories (network position hypothesis, mass effect, species sorting)",Connectivity,1,,
562,"Ecological theories (network position hypothesis, mass effect, species sorting)",Networks,1,,
534,Ecological Value Surface (ESV),Corridors,1,,
563,Ecologically-Informed Precision Conservation framework,Connectivity,1,,
564,Economic policy tools,Corridors,1,,
565,Ecopath,Networks,1,,
566,Ecopath PREBAL tool,Networks,1,,
567,Ecopath with Ecosim (EwE,Networks,1,,
42,Ecopath with Ecosim (EwE),Networks,3,,
568,Ecopath with Ecosim (EwE) software 6.6.5,Networks,1,,
569,Ecosim,Networks,1,,
570,Ecospace,Networks,1,,
574,Ecosystem based fisheries management (EBFM),Networks,1,,
571,Ecosystem Network Analysis (ENA),Networks,1,,
510,ENMTools software,Connectivity,1,,
511,ENVI 5.0 (supervised classification algorithm),Connectivity,1,,
512,ENVI 5.0 (supervised classification algorithm),Corridors,1,,
513,ENVI 5.3,Connectivity,1,,
514,ENVI 5.3,Networks,1,,
515,ENVI 5.3 software,Corridors,1,,
516,ENVI 5.3 software,Networks,1,,
517,ENVI of Visualing Images 5.3.1 program,Corridors,1,,
518,ENVI of Visualing Images 5.3.1 program,Networks,1,,
519,ENVI® software v. 5.6.3,Connectivity,1,,
584,Eopath with Ecosim software (EwE),Networks,1,,
585,Eponymous tool of the Distance toolset,Corridors,1,,
586,Equivalent Connectivity (EC) corresponding to the IIC metric (EC(IIC)),Connectivity,1,,
587,Equivalent Connectivity (EC) corresponding to the IIC metric (EC(IIC)),Networks,1,,
520,ERDAS IMAGINE 2016,Connectivity,1,,
521,ERDAS IMAGINE 2016,Corridors,1,,
523,ERDAS Imagine 9.2 remote sensing software,Corridors,1,,
524,ERDAS Imagine software,Connectivity,1,,
522,ERDAS IMAGINE9.2,Corridors,1,,
594,EwE software 6.6 (ECOIND plugin),Networks,1,,
595,Excel Microsatellite Toolkit,Connectivity,1,,
596,Exponential random graph modelling (ERGM),Networks,1,,
609,Factor analysis,Networks,1,,
610,Farm scale agroforestry implementation,Connectivity,1,,
611,Farm scale agroforestry implementation,Corridors,1,,
612,FastQC  v0.11.5,Networks,1,,
613,Feature extraction network,Networks,1,,
614,Feeder movement,Networks,1,,
598,FEEMs,Networks,1,,
618,Firescapes analysis,Networks,1,,
616,FiSAT software,Networks,1,,
1812,flexible discriminant analysis (FDA),Connectivity,1,,
622,Fluctuation potential Tupu analysis,Corridors,1,,
623,Fluidigm SNP Genotyping Analysis software (version 4.5.1),Corridors,1,,
606,FSTAT,Corridors,1,,
607,FSTAT 2.9.3.2,Corridors,1,,
86,FSTAT version 2.9.3,Connectivity,2,,
608,FSTAT version 2.9.4,Connectivity,1,,
597,F-statistics and ordination methods,Corridors,1,,
641,Functional corridor analysis,Corridors,1,,
642,Functional landscape analysi,Corridors,1,,
643,Functonal connectivity (FC) networks,Connectivity,1,,
644,Functonal connectivity (FC) networks,Networks,1,,
645,GA-ADAM algorithm,Connectivity,1,,
676,Game Management Regions (GMRs),Corridors,1,,
677,Game theory,Connectivity,1,,
678,Gap Light Analyzer 2.0,Corridors,1,,
715,Generalized Lotka-Volterra modelling framework,Networks,1,,
716,Generative Adversarial Networks (GANs),Networks,1,,
722,Geographic object-based image analysis (GBIA),Connectivity,1,,
723,Geographic weighted regression (GWR) analysis,Corridors,1,,
720,Geo-informatic Tupu analysis,Corridors,1,,
726,Gephi software,Networks,1,,
660,GIPAT tool,Networks,1,,
729,Global multi-scale adaptive network,Networks,1,,
734,Grad-CAM (Gradient-weighted Class Activation Mapping),Networks,1,,
741,Graph-based approach,Connectivity,1,,
742,Graph-based image analysis (GBIA),Corridors,1,,
743,Graph-based image analysis (GBIA),Networks,1,,
744,Graph-based image analysis (GBIA).,Connectivity,1,,
745,GraphPad Prism version 8,Connectivity,1,,
746,GraphPad Prism version 9,Corridors,1,,
782,H3 hexagonal hierarchical geospatial indexing system,Connectivity,1,,
783,H3 hexagonal hierarchical geospatial indexing system,Networks,1,,
793,Habplan software,Connectivity,1,,
800,Hedgerows,Corridors,1,,
801,HexMap Builder,Connectivity,1,,
802,HexSim,Connectivity,1,,
803,HexSim,Corridors,1,,
804,HexSim Version 3.2.2,Connectivity,1,,
784,HIDRI protocol,Connectivity,1,,
805,HierachicalAnalysis Process,Corridors,1,,
785,HP-RARE,Connectivity,1,,
786,HP-RARE 1.0,Corridors,1,,
815,ICE protocol: Rapid Barrier Passability and Hydropower Assessment Tool,Connectivity,1,,
816,IDT OligoAnalyzer Tool,Corridors,1,,
817,ILWIS software,Corridors,1,,
837,Indigenous Protected and Conserved Areas (IPCAs),Networks,1,,
818,INEST 2.0,Corridors,1,,
838,Infomap,Connectivity,1,,
839,Infomap,Networks,1,,
840,Information-Theoretic Approach,Corridors,1,,
841,Information-theoretic approach with Akaike’s Information Criterion (AIC),Corridors,1,,
842,Innovasea (formerly VEMCO) Positioning System,Networks,1,,
844,Integrated landscape analysis,Connectivity,1,,
843,Integrated Restoration Prioritization (IRP) framework,Corridors,1,,
845,Intergovernmental Platform on Biodiversity and Ecosystem Services (IPBES),Corridors,1,,
846,International Union for Conservation of Nature's World Commision on Protected Areas (IUCN-WCPA),Corridors,1,,
847,Interviews and questionnaires,Corridors,1,,
829,InVEST 3.12.0,Connectivity,1,,
830,InVEST 3.12.0,Corridors,1,,
831,InVEST 3.12.0,Networks,1,,
832,InVEST 3.5.0,Corridors,1,,
833,InVEST 3.6.0,Corridors,1,,
834,InVEST 3.6.0,Networks,1,,
835,InVEST software,Corridors,1,,
855,Iterative Shrinkage Thresholding Algorithm (ISTA),Networks,1,,
1815,"iteria decision-making (MCDM) analysis, provid",Networks,1,,
1814,iTOL v. 6,Connectivity,1,,
1816,jackknife,Connectivity,1,,
1817,jackknife,Corridors,1,,
857,Jackknife analysis,Connectivity,1,,
858,Jaguar Geographic Regions (JGRs),Corridors,1,,
856,JMP15,Networks,1,,
859,JoinMap 4.0,Corridors,1,,
863,Kaleidoscope software,Corridors,1,,
867,Kriging tools,Corridors,1,,
880,LabelImg,Networks,1,,
882,Labelimg software,Networks,1,,
881,LabelMe,Networks,1,,
872,LA-ICP-MS analysis,Connectivity,1,,
883,Land Ecological Network (LEN),Corridors,1,,
884,Land use change (LUC) scenarios,Corridors,1,,
885,Land use dynamic degree analysis,Corridors,1,,
899,Landscape patch prioritization analysis,Corridors,1,,
874,LDNE software,Connectivity,1,,
875,LDNE software,Corridors,1,,
929,Lilliefors test (Kolmogorov–Smirnov),Corridors,1,,
965,Lolite software,Connectivity,1,,
877,LSCorridors software package,Corridors,1,,
878,LULC change gradient analysis,Connectivity,1,,
967,MANOVA analysis,Networks,1,,
999,Map algebra approach,Corridors,1,,
1000,Map-based threats assessments,Connectivity,1,,
1001,MapDamage,Networks,1,,
1818,mapNN,Networks,1,,
968,MAPS,Networks,1,,
1014,Marine habitat mapping,Connectivity,1,,
1023,Maritime Spatial Planning (MSP),Connectivity,1,,
1024,Maritime Spatial Planning (MSP),Corridors,1,,
1025,Maritime Spatial Planning (MSP),Networks,1,,
969,MARS3D V11.2,Connectivity,1,,
970,MARV V1.0,Corridors,1,,
1032,Matrix of Element’s Suitability (MoES),Corridors,1,,
1033,Matrix of Friction (MoFR),Corridors,1,,
977,MCR,Networks,1,,
1075,Minimum Spanning Tool (MST),Connectivity,1,,
109,Minimum spanning tree (MST),Corridors,2,,
1076,Minimum Spanning Tree (MST),Corridors,1,,
1077,Minimum Spanning Tree (MST),Networks,1,,
1078,Minimum Steiner tree (MStT),Corridors,1,,
1089,Monsu software,Corridors,1,,
24,Morphological spatial pattern analysis (MSPA),Corridors,6,,
49,Morphological spatial pattern analysis (MSPA),Connectivity,3,,
110,Morphological spatial pattern analysis (MSPA),Networks,2,,
1820,morphological spatial pattern analysis (MSPA),Connectivity,1,,
1090,Morphological Spatial Pattern Analysis (MSPA) model software,Corridors,1,,
1091,Morphological Spatial Pattern Analysis (MSPA) model software,Networks,1,,
1092,Morphological Spatial Pattern Anlysis (MSPA),Connectivity,1,,
1093,Morphological Spatial Pattern Anlysis (MSPA),Corridors,1,,
1094,Morphological Spatial Pattern Anlysis (MSPA),Networks,1,,
1095,Motti forest simulator 3.3,Connectivity,1,,
1096,Motti forest simulator 3.3,Networks,1,,
1821,msprime,Networks,1,,
1106,Multicollinearity variance inflation factor (VIF) analysis,Networks,1,,
1098,Multi-Criteria Decision Analysis (MCDA),Connectivity,1,,
1099,Multi-Criteria Decision Analysis (MCDA),Networks,1,,
1100,Multi-criteria decision analysis (MCDA),Corridors,1,,
1101,Multi-criteria decision analysis (MCDA),Networks,1,,
1102,Multi-criteria decision making (MCDM) methods,Connectivity,1,,
1108,Multicriteria evaluation (MCE),Corridors,1,,
1103,Multi-element principal components analyses (PCAs),Connectivity,1,,
1109,Multielement signatures,Connectivity,1,,
1110,Multilayer artificial neural networks,Networks,1,,
1111,Multilayer biological networks,Networks,1,,
1112,Multilayer ecological networks,Networks,1,,
1113,Multilayer network analyses,Connectivity,1,,
1114,Multilayer network analyses,Networks,1,,
1115,Multilayer network analysis,Networks,1,,
1116,Multilayer similarity analysis,Connectivity,1,,
1117,Multilayer similarity analysis,Networks,1,,
1118,Multilayer socio-ecological networks,Networks,1,,
1120,Multiple factor analysis (MFA),Networks,1,,
1119,Multiple Least Cost Corridors (MLCCs),Corridors,1,,
988,MULTIple length Frequency ANalysis-Catch at Length,Connectivity,1,,
1121,Multiresolution analysis,Networks,1,,
1104,Multi-scale landscape ecology analytical approach,Connectivity,1,,
1105,Multi-scale landscape ecology analytical approach,Corridors,1,,
1825,multi-sensor network (Automated multisensor stations for  the Monitoring of species Diversity (AMMODs)),Networks,1,,
989,MUSCLE v3.8.425 (Edgar 2004) in Geneious® v11.1.5.,Networks,1,,
1149,Near-term spread forecasting,Connectivity,1,,
1150,Near-term spread forecasting,Networks,1,,
